The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CH3SiH3              |  11.73 |           0.36           3.25           3.25 |           0.19           2.96           2.93 |          -0.24           3.00           1.42 |           0.24           3.38           0.24 |           0.24           3.00           3.00 |          -0.21           2.86           0.22
CH4N2O               |  10.32 |           0.11           3.08           3.08 |           0.28           2.73           2.67 |          -0.39           2.50           0.87 |           0.26           3.21           0.26 |           0.35           2.78           2.78 |           0.17           2.44           0.56
OCS                  |  11.21 |           0.15           3.23           3.23 |          -0.07           3.01           2.97 |           0.06           3.15           1.57 |           1.08           4.15           1.08 |          -0.04           3.03           3.03 |          -0.06           3.02           0.42
CHFCF2               |  10.53 |           0.58           3.53           3.53 |           0.21           3.18           3.18 |           0.16           3.17           1.70 |           0.99           4.06           0.99 |           0.28           3.24           3.24 |           0.30           3.24           0.77
P2                   |  10.58 |           0.24           3.29           3.29 |          -0.21           2.74           2.74 |          -0.20           2.75           1.55 |           0.43           3.39           0.43 |          -0.20           2.74           2.74 |          -0.32           2.61           0.17
Z-CHF-CHF            |  10.54 |           0.50           3.31           3.31 |           0.20           3.03           3.03 |           0.25           3.11           1.73 |           1.17           4.10           1.17 |           0.28           3.09           3.09 |           0.25           3.06           0.71
CH3OCH3              |  10.21 |           0.57           3.24           3.24 |           0.27           2.93           2.93 |           0.34           2.97           1.19 |           1.36           3.99           1.36 |           0.35           2.99           2.99 |           0.24           2.88           0.69
H2S                  |  10.39 |           0.11           3.38           3.38 |          -0.04           3.21           3.07 |           0.16           3.40           1.74 |           1.17           4.40           1.17 |           0.05           3.29           3.18 |          -0.03           3.21           0.53
CH3CH2Cl             |  11.12 |           0.56           2.99           2.99 |           0.18           2.60           2.60 |           0.16           2.61           1.42 |           1.05           3.51           1.05 |           0.20           2.61           2.61 |           0.08           2.49           0.49
SiO                  |  11.51 |           0.29           3.50           3.50 |           0.02           3.23           3.17 |           0.09           3.26           1.57 |           1.04           4.04           1.04 |           0.09           3.32           3.32 |          -0.06           3.20           0.51
CCl2F2               |  12.18 |           0.90           3.50           3.50 |           0.35           2.97           2.97 |           0.05           2.73           1.41 |           0.34           2.94           0.34 |           0.32           2.93           2.93 |           0.08           2.70           0.53
