The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule               | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
s-Tetrazine            |          -0.56          -0.14          -0.14 |          -0.42          -0.00          -0.00 |          -0.20           0.22          -0.00 |           0.19           0.61           0.19 |          -0.45          -0.03          -0.03 |          -0.06           0.36          -0.00
CBrF3                  |          -0.64          -0.18          -0.18 |          -0.49          -0.02          -0.02 |          -0.24           0.24          -0.00 |           0.22           0.71           0.22 |          -0.51          -0.03          -0.03 |          -0.07           0.41           0.00
CH2CO                  |          -0.64          -0.16          -0.16 |          -0.48           0.01          -0.00 |          -0.23           0.26          -0.00 |           0.23           0.70           0.23 |          -0.49          -0.01          -0.01 |          -0.07           0.41           0.00
NSF3                   |          -0.65          -0.18          -0.18 |          -0.48          -0.00          -0.00 |          -0.20           0.28          -0.00 |           0.30           0.78           0.30 |          -0.49          -0.01          -0.01 |          -0.07           0.40           0.00
CH2Cl2                 |          -0.55          -0.14          -0.14 |          -0.45          -0.01          -0.01 |          -0.23           0.23           0.00 |           0.12           0.30           0.12 |          -0.48          -0.04          -0.04 |          -0.06           0.36          -0.00
CH3SiH3                |          -0.52          -0.12          -0.12 |          -0.43           0.00           0.00 |          -0.24           0.25          -0.00 |           0.17           0.66           0.17 |          -0.44          -0.01          -0.01 |          -0.07           0.40          -0.00
CH4N2O                 |          -0.54          -0.14          -0.14 |          -0.45           0.01          -0.00 |          -0.21           0.28          -0.00 |           0.28           0.78           0.28 |          -0.46          -0.00          -0.00 |          -0.07           0.38           0.00
OCS                    |          -0.63          -0.15          -0.15 |          -0.48           0.01          -0.00 |          -0.24           0.25          -0.00 |           0.21           0.69           0.21 |          -0.49          -0.01          -0.01 |          -0.08           0.41           0.00
CHFCF2                 |          -0.64          -0.18          -0.18 |          -0.48          -0.02          -0.02 |          -0.24           0.23           0.00 |           0.20           0.68           0.20 |          -0.50          -0.04          -0.04 |          -0.08           0.39           0.00
P2                     |          -0.57          -0.10          -0.10 |          -0.46          -0.01          -0.01 |          -0.27           0.19           0.00 |           0.07           0.53           0.07 |          -0.48          -0.02          -0.02 |          -0.08           0.38          -0.00
Z-CHF-CHF              |          -0.64          -0.19          -0.19 |          -0.48          -0.03          -0.03 |          -0.24           0.22          -0.00 |           0.20           0.67           0.20 |          -0.50          -0.05          -0.05 |          -0.07           0.38           0.00
CH3OCH3                |          -0.64          -0.19          -0.19 |          -0.46           0.00          -0.00 |          -0.15           0.31          -0.00 |           0.44           0.90           0.44 |          -0.47          -0.01          -0.01 |          -0.08           0.38          -0.00
H2S                    |          -0.69          -0.15          -0.15 |          -0.52           0.02           0.00 |          -0.27           0.28           0.00 |           0.19           0.73           0.19 |          -0.53           0.02           0.00 |          -0.09           0.46          -0.00
CH3CH2Cl               |          -0.61          -0.20          -0.20 |          -0.47          -0.05          -0.05 |          -0.22           0.21          -0.00 |           0.27           0.70           0.27 |          -0.49          -0.07          -0.07 |          -0.07           0.35           0.00
SiO                    |          -0.64          -0.15          -0.15 |          -0.48           0.01          -0.00 |          -0.22           0.24           0.00 |           0.28           0.67           0.28 |          -0.50          -0.00          -0.00 |          -0.09           0.41          -0.00
CCl2F2                 |          -0.57          -0.17          -0.17 |          -0.44          -0.03          -0.03 |          -0.22           0.21           0.00 |           0.19           0.60           0.19 |          -0.46          -0.05          -0.05 |          -0.07           0.35          -0.00
C2F4                   |          -0.63          -0.21          -0.21 |          -0.48          -0.05          -0.05 |          -0.24           0.20          -0.00 |           0.20           0.65           0.20 |          -0.50          -0.07          -0.07 |          -0.08           0.36          -0.00
NSF                    |          -0.66          -0.17          -0.17 |          -0.48           0.01          -0.00 |          -0.20           0.29          -0.00 |           0.33           0.81           0.33 |          -0.50          -0.01          -0.01 |          -0.09           0.40          -0.00
PF3                    |          -0.65          -0.17          -0.17 |          -0.50          -0.02          -0.02 |          -0.27           0.23          -0.00 |           0.19           0.70           0.19 |          -0.52          -0.03          -0.03 |          -0.09           0.40           0.00
NaCl                   |          -0.70          -0.16          -0.16 |          -0.52           0.02          -0.00 |          -0.25           0.30          -0.00 |           0.23           0.79           0.23 |          -0.53           0.02           0.00 |          -0.10           0.45           0.00
N2H4                   |          -0.68          -0.18          -0.18 |          -0.50           0.00          -0.00 |          -0.22           0.28          -0.00 |           0.27           0.77           0.27 |          -0.52          -0.01          -0.01 |          -0.10           0.41           0.00
C2H2                   |          -0.71          -0.19          -0.19 |          -0.53          -0.01          -0.01 |          -0.26           0.26          -0.00 |           0.21           0.74           0.21 |          -0.54          -0.02          -0.02 |          -0.10           0.42           0.00
CH3CH3                 |          -0.62          -0.19          -0.19 |          -0.47          -0.04          -0.04 |          -0.24           0.19           0.00 |           0.26           0.34           0.26 |          -0.50          -0.07          -0.07 |          -0.08           0.35           0.00
CH3CN                  |          -0.66          -0.18          -0.18 |          -0.50          -0.02          -0.02 |          -0.23           0.26          -0.00 |           0.26           0.76           0.26 |          -0.51          -0.03          -0.03 |          -0.10           0.38           0.00
HCONH2                 |          -0.70          -0.21          -0.21 |          -0.48           0.01          -0.00 |          -0.14           0.34          -0.00 |           0.43           0.90           0.43 |          -0.49           0.00           0.00 |          -0.10           0.40          -0.00
CH3Cl                  |          -0.67          -0.18          -0.18 |          -0.51          -0.01          -0.01 |          -0.24           0.26          -0.00 |           0.25           0.76           0.25 |          -0.52          -0.02          -0.02 |          -0.10           0.40           0.00
CH3CH2OH               |          -0.65          -0.19          -0.19 |          -0.48          -0.01          -0.01 |          -0.18           0.31          -0.00 |           0.42           0.91           0.42 |          -0.50          -0.02          -0.02 |          -0.10           0.38           0.00
CClF3                  |          -0.66          -0.20          -0.20 |          -0.51          -0.03          -0.03 |          -0.24           0.26          -0.00 |           0.27           0.78           0.27 |          -0.53          -0.04          -0.04 |          -0.10           0.39           0.00
Ethylene_oxide         |          -0.69          -0.21          -0.21 |          -0.48          -0.00          -0.00 |          -0.14           0.35          -0.00 |           0.49           0.96           0.49 |          -0.49          -0.01          -0.01 |          -0.10           0.38          -0.00
